################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8959249414657552E-02 a       357     0    15     1    21
  6.0570292632860546E-02 a       358     0    15     1    22
 -2.0288656854300471E-01 a       359     0    15     1    23
  2.9186706752169451E-02 a       360     0    15     1    24
  8.5955924873046444E-02 a       361     0    16     1     1
  1.5233966664830137E-01 a       362     0    16     1     2
 -3.5678716110886743E-02 a       363     0    16     1     3
  5.2468772325992424E-03 a       364     0    16     1     4
 -1.0390186057209738E-01 a       365     0    16     1     5
  3.4730645725024750E-01 a       366     0    16     1     6
 -3.7688477076042733E-02 a       367     0    16     1     7
  1.4793506037857906E-01 a       368     0    16     1     8
 -2.1671071884687934E-01 a       369     0    16     1     9
 -5.8174072876537176E-02 a       370     0    16     1    10
  4.5746915776531873E-02 a       371     0    16     1    11
  1.4271457996236145E-01 a       372     0    16     1    12
  1.4174899935490645E-02 a       373     0    16     1    13
  1.8382768437958732E-02 a       374     0    16     1    14
  8.0281872803500118E-02 a       375     0    16     1    15
 -2.9717585419452375E-01 a       376     0    16     1    16
  1.6760495907251986E-02 a       377     0    16     1    17
 -5.2528061411125766E-02 a       378     0    16     1    18
  1.8930071085649386E-01 a       379     0    16     1    19
 -3.0917538051687867E-03 a       380     0    16     1    20
  3.9730006226774660E-02 a       381     0    16     1    21
 -1.1379729556954132E-01 a       382     0    16     1    22
 -2.3378818194101209E-01 a       383     0    16     1    23
 -1.9105578249312204E-02 a       384     0    16     1    24
 -3.3204770903933166E-02 a       385     0    17     1     1
 -2.6920832314931120E-01 a       386     0    17     1     2
  5.0244866023938753E-02 a       387     0    17     1     3
  1.2927857653006809E-02 a       388     0    17     1     4
