,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12
56,126.37664147,-13.46317326,25.084696,51.73234546,-289.11731337,-63.06669768,-132.68991849,-11.86822991,123.23756501,124.64488315,45.65000774,108.13479978,27.94253284,26.64345016,18.49189852,27.41813375,28.82090478,26.75278984,22.17799854,28.46140441,3.53525252,-17.70001823,-17.09997252,-15.33360382,31.81900438,7.95440948,13.89439413,21.10605813
57,73.70353911,81.24707308,111.51766995,14.48970285,-0.21721845,-88.16914412,70.97466573,69.5676409,115.14592719,142.55235403,123.44437605,136.95994203,26.5149218,27.14369488,28.76660483,25.99289943,21.8123245,28.19366366,24.99305221,28.05461082,-22.61168912,-18.20323565,-26.73153334,1.46227563,12.7722408,12.1608588,19.40648533,7.99782389
58,131.12963477,55.93513992,-99.4584805,90.98232404,-92.72966038,-93.80210421,-8.74452052,-63.46095328,148.29809423,137.53031294,123.73177166,159.02918494,27.76775482,29.16671489,24.07802288,29.22038434,27.19020252,27.11331792,26.48061219,28.82471633,-25.01808277,-21.08680462,-11.30125591,-14.84965163,23.74271705,15.4873906,5.86304277,17.04502553
59,18.16766431,-58.49376494,137.36513654,-3.99849354,-201.69691196,-95.85315053,-167.4347585,58.0745807,62.95768596,140.67534605,151.35154894,128.34179385,24.66494785,28.21525469,27.35811441,26.36111277,25.11564925,28.44118314,29.021308,24.8575544,-16.13400075,-8.70339024,-13.57993182,-26.03033795,8.37638285,8.56753634,26.20099197,13.99175612
60,119.51794503,40.68091823,35.59947232,48.08643807,1.95050411,3.78779919,-73.79265121,-156.56440749,168.17217902,149.36007418,127.27431552,148.56861847,27.8815179,28.0222492,26.03693368,28.80705494,28.88719411,29.46440585,28.78152522,29.29415694,-17.83870886,-9.85219494,-25.45781656,-25.16472636,13.41921082,19.07104773,12.85618796,14.40928007
61,4.32046985,25.76841409,79.14404825,165.35005683,-143.3061956,-90.75797148,-40.68317637,-191.3953076,137.81636433,132.79261387,147.21747787,105.50620213,27.74614395,26.31625681,26.97656899,26.05549341,27.32205717,26.46411799,28.63006532,24.33287505,-12.47032342,-15.90893446,-20.71870397,3.3870408,17.35470083,11.57235978,17.30697934,21.99951548
62,-141.72499675,77.52663974,60.25910233,-6.43028143,-211.76824221,-51.12715487,-153.59140904,52.81311947,112.36983057,122.83964449,117.95515243,143.47946653,28.72547677,27.42273775,27.80470427,30.26312971,28.71785429,23.91829185,27.71947598,29.85487177,-7.91704392,-31.15444647,-16.35865293,-23.21334026,6.81990602,14.3284487,21.22782592,14.41590062
63,30.76119994,34.92588897,43.5006208,114.63941482,-21.13132757,-207.02905705,-73.09368112,-41.38961615,101.37384439,111.02460887,144.30213513,55.90921692,25.82125402,22.47750987,26.95885711,20.23956334,25.65457927,27.1365093,26.02810753,20.70146209,-11.56399635,-22.16415183,-29.68275243,-45.73769399,21.76358666,13.7361962,7.54179022,19.4136804
64,59.74880186,98.96765362,89.9169625,-53.01971846,79.7477448,-71.92526829,-116.37333605,-235.48728586,133.1361916,127.94410931,172.3100223,137.49058436,27.20543628,25.37975145,27.47876755,30.84978028,26.46379539,29.25519381,28.96274695,30.93664896,-18.37718883,-12.3133653,-8.986559,4.31764345,14.66261698,18.15144983,14.82638756,6.59218754
65,106.42295607,-7.51365957,71.16608859,-33.54434313,-202.46721384,1.56569136,-29.55587497,12.23001617,89.23237072,102.90745445,122.66186143,73.4010948,21.456129,22.51682962,25.78314775,20.95431084,23.33544385,23.79523152,25.89595791,24.88437095,-19.99232489,-17.15884681,-18.43765142,-13.11473536,21.01854364,15.59305364,28.27777758,7.0884052
